Author Name,Auth-ID,Number of Documents,Subject Area,Orc_ID
"Oladunmoye, Muftau Kolawole",16643515500,16,"Agricultural and Biological Sciences
Medicine
Immunology and Microbiology
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Nursing
Multidisciplinary
",
"Ogunjobi, Joseph Kolawole",56429753900,12,"Environmental Science
Chemistry
Chemical Engineering
Energy
Materials Science
Multidisciplinary
Biochemistry, Genetics and Molecular Biology
Medicine
",
"Adeyinka, A.",57195677533,1,"Agricultural and Biological Sciences
",
"Ojo, O.",57213351730,1,"Engineering
Agricultural and Biological Sciences
Earth and Planetary Sciences
",
"Adeloye, T. O.",57193408380,1,"Engineering
Materials Science
",
"Amoo, Zainab Abiola",57205301260,4,"Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Neuroscience
Environmental Science
",
"Isaiah, Oniosun Temidayo",57193768348,3,"Physics and Astronomy
Engineering
Earth and Planetary Sciences
",
"Olagunju, Grace Boluwatife",57474514100,2,"Biochemistry, Genetics and Molecular Biology
Medicine
Pharmacology, Toxicology and Pharmaceutics
Environmental Science
",
"Ologunwa, O. P.",57222399706,1,"Medicine
",
"Osuolale, Festus Adeyinka",58131204700,1,"Computer Science
",
"Okufarasin, Y. A.",57190723956,1,"Environmental Science
",
"Taiwo, Edeh Abigael",57321528900,1,"Medicine
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
",
"Oladele Ademati, Akeem",57721332600,2,"Materials Science
",
"Olofin, T. A.",55883781800,1,"Immunology and Microbiology
Medicine
Nursing
Veterinary
",
"Adepetun, Akinola Oladiran",57216866642,4,"Mathematics
Multidisciplinary
Biochemistry, Genetics and Molecular Biology
",
"Olaore, J. B.",43061429900,1,"Agricultural and Biological Sciences
Environmental Science
",
"Oluwayomi, Oluwafunso",57908243700,1,"Pharmacology, Toxicology and Pharmaceutics
",
"Ismail, Lawal Abiodun",57302102700,1,"Earth and Planetary Sciences
Agricultural and Biological Sciences
Engineering
",
"Ajala, Temitope Funminiyi",57218797680,1,"Environmental Science
Earth and Planetary Sciences
Agricultural and Biological Sciences
",
"Ife-Adediran, Oluwatobi Ololade",57200410806,7,"Environmental Science
Earth and Planetary Sciences
Social Sciences
Business, Management and Accounting
Economics, Econometrics and Finance
Health Professions
Medicine
",
"Ujah, Collins Ogadima",57225884928,1,"Agricultural and Biological Sciences
",
"Balogun, Ifeoluwa Adebowale",55176253300,17,"Earth and Planetary Sciences
Environmental Science
Social Sciences
Computer Science
Decision Sciences
Agricultural and Biological Sciences
Engineering
Physics and Astronomy
Energy
Materials Science
Multidisciplinary
Chemical Engineering
",0000-0003-4628-0362
"Akinlolu-Ojo, Temilade",58399884400,1,"Agricultural and Biological Sciences
Nursing
",
"Edema, Mojisola Olayinka",15029737800,20,"Agricultural and Biological Sciences
Engineering
Chemical Engineering
Immunology and Microbiology
Biochemistry, Genetics and Molecular Biology
Chemistry
Earth and Planetary Sciences
Mathematics
Veterinary
Social Sciences
",
"Balogun, Augustine Olamilekan",57211468707,3,"Engineering
Multidisciplinary
Business, Management and Accounting
Materials Science
",
"Alabi, K. B.",25639491800,1,"Agricultural and Biological Sciences
Immunology and Microbiology
Biochemistry, Genetics and Molecular Biology
",
"Aikulola, Emmanuel",57219516887,3,"Materials Science
Engineering
",0000-0003-1619-1211
"Ogunduyile, Folasade D.",47561858700,1,"Agricultural and Biological Sciences
",
"Olowu, Comfort",57981757500,1,"Biochemistry, Genetics and Molecular Biology
Environmental Science
",
"Ajanaku, B. S.",57216737444,1,"Earth and Planetary Sciences
Energy
",
"Abiya, Sylvanus Efetobor",57224922217,1,"Multidisciplinary
",
"Awoyinka, Oluwapemi",57160524300,1,"Agricultural and Biological Sciences
Chemistry
",
"Damilola, Animasaun O.",58233901400,1,"Chemistry
",
"Umar, Haruna Isiyaku",57219926711,28,"Biochemistry, Genetics and Molecular Biology
Medicine
Chemistry
Chemical Engineering
Pharmacology, Toxicology and Pharmaceutics
Environmental Science
Materials Science
Computer Science
Immunology and Microbiology
Engineering
Physics and Astronomy
Multidisciplinary
Agricultural and Biological Sciences
",0000-0001-9427-9804
"Fesomade, Kayode I.",57876350800,1,"Chemistry
",
"Animasaun, Isaac Lare",56741308600,138,"Physics and Astronomy
Engineering
Mathematics
Materials Science
Chemical Engineering
Chemistry
Computer Science
Multidisciplinary
Energy
Earth and Planetary Sciences
Environmental Science
Medicine
Dentistry
Business, Management and Accounting
Neuroscience
Biochemistry, Genetics and Molecular Biology
Social Sciences
",0000-0002-5553-2587
"Guidigan, Meminvègni Landry Gildas",57209471962,3,"Earth and Planetary Sciences
Environmental Science
Economics, Econometrics and Finance
Social Sciences
Agricultural and Biological Sciences
Decision Sciences
",
"Esan, Israel A.",57204685339,1,"Engineering
Agricultural and Biological Sciences
Chemical Engineering
",
"Adebayo, Raphael Abiodun",57225918880,1,"Multidisciplinary
",
"Sanusi, Afees Akinbode",57286173300,2,"Biochemistry, Genetics and Molecular Biology
Materials Science
Chemical Engineering
Engineering
Chemistry
",
"Badejo, Oludotun Ayooluwa",57224097369,1,"Agricultural and Biological Sciences
Immunology and Microbiology
Chemical Engineering
Biochemistry, Genetics and Molecular Biology
",
"Oladele, Ebun Oluwa Peace",56462903500,18,"Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
Medicine
Engineering
Nursing
Pharmacology, Toxicology and Pharmaceutics
Chemistry
Environmental Science
Immunology and Microbiology
Physics and Astronomy
Materials Science
Energy
Chemical Engineering
Social Sciences
",0000-0001-6390-5104
"Aroge, Akindele F.",56801811100,1,"Computer Science
Engineering
Social Sciences
",
"Daramola, Oladuni Abosede",49662941800,4,"Computer Science
Engineering
Mathematics
Social Sciences
",0000-0001-7187-9874
"Oluyamo, Sunday Samuel",6507209719,31,"Physics and Astronomy
Engineering
Materials Science
Earth and Planetary Sciences
Mathematics
Environmental Science
Chemistry
Medicine
Chemical Engineering
Health Professions
Energy
Multidisciplinary
",0000-0002-9819-1719
"Israel, Haruna Danjuma",56077111000,1,"Computer Science
",
"Aladesanmi, Olayinka Oluwaseun",57220594007,2,"Pharmacology, Toxicology and Pharmaceutics
Environmental Science
Medicine
Chemical Engineering
",
"Oluwabayo, Tanitoluwa O.",57211603854,2,"Pharmacology, Toxicology and Pharmaceutics
Medicine
Environmental Science
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
",
"Elemoso, T. T.",57226308263,1,"Medicine
",
"Melodi, Adegoke O.",25823229900,21,"Engineering
Energy
Computer Science
Social Sciences
Physics and Astronomy
Mathematics
Decision Sciences
",
"Olalemi, Adewale Oluwasogo",56040037700,13,"Environmental Science
Medicine
Biochemistry, Genetics and Molecular Biology
Immunology and Microbiology
Earth and Planetary Sciences
Pharmacology, Toxicology and Pharmaceutics
Agricultural and Biological Sciences
",
"Adewuni, Taiwo Mary",56543582000,5,"Medicine
Agricultural and Biological Sciences
Nursing
",
"Ayibiowu, Ebenezer Oladipupo",58176467400,1,"Agricultural and Biological Sciences
Nursing
",
"Aigbogun, Jane A.",57409013800,2,"Chemistry
Environmental Science
Materials Science
Chemical Engineering
",0000-0001-6584-1407
"Ro, Akinkurolere",56024092100,1,"Agricultural and Biological Sciences
",
"Sogbesan, O. A.",57224247523,1,"Engineering
",
"Ayibiowu, Oluwatoyin Oyekanmi",57218608346,1,"Social Sciences
Agricultural and Biological Sciences
",
"Okerinu, Paul",58076171000,1,"Environmental Science
",
"Adeagbo, Ayotunde Samuel",57706133300,3,"Medicine
Multidisciplinary
Biochemistry, Genetics and Molecular Biology
",
"Olowokere, Mary Taiwo",6507251219,16,"Earth and Planetary Sciences
Environmental Science
Mathematics
Computer Science
Energy
Multidisciplinary
Physics and Astronomy
Materials Science
",0000-0002-0876-7906
"Akinbinu, Victor Abioye",35751305200,17,"Earth and Planetary Sciences
Engineering
Agricultural and Biological Sciences
Energy
Environmental Science
",
"Oigiangbe, Y.",24339003900,1,"Immunology and Microbiology
Biochemistry, Genetics and Molecular Biology
",
"Erinle, Tunji J.",57214232158,8,"Engineering
Materials Science
Computer Science
Chemical Engineering
Physics and Astronomy
Earth and Planetary Sciences
Energy
Decision Sciences
",0000-0003-0557-9931
"Olaleye, Feranmi K.",57209004644,1,"Biochemistry, Genetics and Molecular Biology
",
"Abubakar, F. A.",56288241100,1,"Immunology and Microbiology
Agricultural and Biological Sciences
Medicine
",
"Ogunmola, Tosin Grace",57450245900,1,"Engineering
Agricultural and Biological Sciences
Chemical Engineering
",
"Agunbiade, H. O.",57812353600,1,"Agricultural and Biological Sciences
",
"Abosede, Oladiran Abiola",57223301328,1,"Materials Science
",
"Agbetola, Oluwafemi Yinka",57210149050,1,"Environmental Science
Energy
",
"Ajay, Oluwadamilola E.",57327506900,1,"Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
",
"Ejakpovi, Isaac Idowu",56638485500,6,"Biochemistry, Genetics and Molecular Biology
Medicine
Agricultural and Biological Sciences
Pharmacology, Toxicology and Pharmaceutics
",
"Ajala, A. O.",57242377200,1,"Environmental Science
",
"Aremu, S. O.",55894450900,1,"Engineering
",
"Akinrinade, Opeyemi Joshua",57222013607,4,"Earth and Planetary Sciences
Environmental Science
Energy
",0000-0002-5204-1723
"Ajayi-Moses, Oluwatayo Benjamin",57211859034,2,"Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
Medicine
",
"Adewale, Ademola",58350322500,1,"Engineering
Chemical Engineering
",
"Oluwatosin, Ogunsola A.",57223313314,2,"Engineering
Business, Management and Accounting
Decision Sciences
",
"Adenigbo, Joseph Adedotun",57189310413,1,"Social Sciences
Business, Management and Accounting
Environmental Science
",0000-0002-1012-9591
"Falayi, S. G.",58515165600,1,"Engineering
",
"Adebisi, Emmanuel",57450862600,2,"Computer Science
Decision Sciences
Business, Management and Accounting
Social Sciences
",
"Afolabi, Emmanuel Olabanji",57215875330,1,"Agricultural and Biological Sciences
",
"Oladipupo, V. A.",57666149600,1,"Physics and Astronomy
Chemical Engineering
",
"Adeboye, C. A.",37114263000,1,"Pharmacology, Toxicology and Pharmaceutics
Agricultural and Biological Sciences
Medicine
",
"Ayeni, Adebola Oluwayemisi",58366070900,1,"Agricultural and Biological Sciences
Medicine
Pharmacology, Toxicology and Pharmaceutics
",
"Ojo, Ayokunbi Elizabeth",57221776064,1,"Medicine
",
"Emuekele, P. O.",45861045400,1,"Pharmacology, Toxicology and Pharmaceutics
Agricultural and Biological Sciences
Medicine
",
"Abimbola, O. A.",57329886600,1,"Physics and Astronomy
",
"Aladejana, Olabanji Odunayo",57194397454,9,"Environmental Science
Earth and Planetary Sciences
Social Sciences
Decision Sciences
Agricultural and Biological Sciences
Engineering
Medicine
Physics and Astronomy
Energy
",0000-0001-5656-7311
"Megbowon, I. O.",57224234609,1,"Engineering
",
"Aladesanwa, R. D.",8906462400,9,"Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
",
"Akinwumi, A. M.",57220025994,1,"Energy
Environmental Science
",
"Olugbojo, Wasiu O.",56891666700,2,"Engineering
Agricultural and Biological Sciences
Energy
",
"Franca, Ebosele",57193808032,1,"Agricultural and Biological Sciences
",
"Okoh, Comfort O.A.",57210702574,6,"Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Medicine
Neuroscience
Chemistry
Chemical Engineering
Environmental Science
",
"Oluwakemi, Agunde S.",58040505800,1,"Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
Chemistry
Medicine
",
"Ajulo, Ademola Sunday",58098211400,1,"Biochemistry, Genetics and Molecular Biology
",
"Taiwo, Bobola Jeremiah",57260768100,1,"Pharmacology, Toxicology and Pharmaceutics
Environmental Science
",
"Fakayejo, Damilola Alex",57747021600,1,"Agricultural and Biological Sciences
",
"Adu, Michael Rotimi",55570466100,3,"Engineering
Energy
Computer Science
",
"Tanimola, Moses Oladejo",57216434540,3,"Earth and Planetary Sciences
Environmental Science
Multidisciplinary
",
"Adisa, Amoo Isiaka",54782212800,1,"Agricultural and Biological Sciences
",
"Akinmolayan, B.",57219265516,1,"Environmental Science
",
"Ogunbadejo, Mariam Damilola",57188995708,2,"Agricultural and Biological Sciences
Medicine
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
",
"Olowosoke, Christopher Busayo",57219922798,6,"Biochemistry, Genetics and Molecular Biology
Chemistry
Medicine
Chemical Engineering
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
Computer Science
",0000-0002-4315-3184
"Olukanni, E. O.",57477384300,3,"Engineering
",
"Adedimeji, Akeem Adedayo",57214806009,2,"Computer Science
Business, Management and Accounting
Social Sciences
",
"Osundare, Opeyemi T.",57905199100,1,"Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
",
"Ohenhen, H. O.",6504481252,1,"Physics and Astronomy
Energy
Medicine
Health Professions
",
"Nwosu, L. A.",56548791000,1,"Computer Science
Engineering
",
"Akinsulire, Victor",57223081955,1,"Computer Science
Business, Management and Accounting
Decision Sciences
",
"Ayeisanmi, A. F.",36863342300,1,"Agricultural and Biological Sciences
Medicine
Nursing
",
"Olajire, Temitope",57222630757,1,"Environmental Science
Agricultural and Biological Sciences
",
"Oyesanmi, Fiyinfoluwa G.",58140123600,1,"Computer Science
Social Sciences
Engineering
",
"Ogunrinde, O. S.",57053227800,1,"Engineering
Materials Science
",
"Ojo, Opeyemi Febisara",57547083600,1,"Environmental Science
Chemistry
Medicine
",
"Patrick, Olalusi Ayoola",57211316456,1,"Engineering
Agricultural and Biological Sciences
Energy
",
"Ijomone, Omamuyovwi M.",57208910689,66,"Medicine
Pharmacology, Toxicology and Pharmaceutics
Neuroscience
Biochemistry, Genetics and Molecular Biology
Environmental Science
Agricultural and Biological Sciences
Chemistry
Chemical Engineering
Multidisciplinary
Nursing
Psychology
",0000-0002-0933-8409
"Folorunsho, Akinleye H.",57211374348,3,"Environmental Science
Agricultural and Biological Sciences
Earth and Planetary Sciences
Materials Science
Decision Sciences
",
"Ozah, Blessing Ngozi",57358312600,2,"Materials Science
Engineering
",
"Tolorunloju, Edoreh Raphael",58514843100,1,"Engineering
",
"Adewumi, Olusola John",57194556945,1,"Engineering
",
"Daramola, Mojolaoluwa Toluwalase",57209318652,13,"Earth and Planetary Sciences
Environmental Science
Social Sciences
Computer Science
Engineering
Decision Sciences
Physics and Astronomy
Materials Science
Chemical Engineering
Multidisciplinary
Agricultural and Biological Sciences
",
"Oladipo, Martha Chidinma",57219799274,2,"Pharmacology, Toxicology and Pharmaceutics
Agricultural and Biological Sciences
",
"Alabi, Ayodeji",57209798046,1,"Earth and Planetary Sciences
Energy
",
"Isabella, A. I.",57202950416,1,"Energy
Chemistry
Earth and Planetary Sciences
Chemical Engineering
",
"Ijarotimi, Oluwole Steve",12774076600,35,"Agricultural and Biological Sciences
Nursing
Medicine
Engineering
Chemical Engineering
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Chemistry
Earth and Planetary Sciences
Environmental Science
Physics and Astronomy
Materials Science
Multidisciplinary
Social Sciences
",
"Chineke, Clifford Adinma",34569467100,8,"Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
Veterinary
",
"Adebisi, Adedoyin Olubolade",57695853000,1,"Agricultural and Biological Sciences
",
"Okunlola, Adeyela Ibironke",35300228700,4,"Agricultural and Biological Sciences
Environmental Science
Multidisciplinary
",
"Obasha, Isaac Ojo",57721628000,1,"Engineering
Business, Management and Accounting
",
"Dare Olatubosun, Olugbenga",57224457833,1,"Environmental Science
Agricultural and Biological Sciences
Chemistry
Medicine
",
"Aberejo, B. A.",15767189600,1,"Agricultural and Biological Sciences
Immunology and Microbiology
Chemical Engineering
",
"Ajaka, Ebenezer Oyedele",6505494795,5,"Engineering
Earth and Planetary Sciences
",
"Achugbu, Ifeanyi Chukwudi",57218671240,4,"Earth and Planetary Sciences
Environmental Science
Multidisciplinary
Agricultural and Biological Sciences
Decision Sciences
",
"Ojo, Kayode Stephen",36155659600,24,"Engineering
Mathematics
Physics and Astronomy
Computer Science
Materials Science
Energy
Chemical Engineering
",
"Bankole, T. D.",57205147818,1,"Engineering
Physics and Astronomy
Materials Science
",
"Isah, Laisi Rasheed",57204357818,1,"Agricultural and Biological Sciences
Nursing
",
"Olunkunle, O. F.",24766820900,1,"Agricultural and Biological Sciences
Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
",
"Ademosun, Olugboyega Cornelius",6507768032,15,"Engineering
Agricultural and Biological Sciences
Energy
Business, Management and Accounting
Decision Sciences
",
"Boniface, K. Alese",56548545900,2,"Computer Science
Engineering
",
"Ogbeifun, L.",56986692800,1,"Agricultural and Biological Sciences
",
"Adeogun, O. A.",6504595237,1,"Agricultural and Biological Sciences
Chemistry
",
"Akande, Titilayo",57371834800,2,"Medicine
Agricultural and Biological Sciences
Chemistry
Pharmacology, Toxicology and Pharmaceutics
",
"A, Adelakun S.",57219989990,1,"Medicine
Biochemistry, Genetics and Molecular Biology
Neuroscience
",
"A, Adedotun O.",57219989991,1,"Medicine
Biochemistry, Genetics and Molecular Biology
Neuroscience
",
"Jimoh, Monsurat Bukola",58169927300,1,"Medicine
Immunology and Microbiology
",
"Theophilus, Ewetumo",57205281572,2,"Biochemistry, Genetics and Molecular Biology
Engineering
Earth and Planetary Sciences
Energy
Agricultural and Biological Sciences
Chemistry
Computer Science
",
"Gbadeyan, O. O.",57207469527,3,"Materials Science
Engineering
Physics and Astronomy
",
"Oladipo, Seun Festus",57971591900,1,"Energy
",
"Onamuti, Olapeju Y.",57196483961,1,"Multidisciplinary
",
"Adegboyega, Suleiman Abdul Azeez",55535513100,5,"Environmental Science
Earth and Planetary Sciences
Social Sciences
Engineering
Biochemistry, Genetics and Molecular Biology
",
"Ajayi, Oluwasegun E.",57299867600,1,"Agricultural and Biological Sciences
Chemistry
",
"Omilodi, Babatola Moses",57219326533,1,"Engineering
Computer Science
Economics, Econometrics and Finance
",
"Adedapo, I.",57202892950,1,"Engineering
Physics and Astronomy
Materials Science
",
"Agboola, Ajoke Aminat",58030198400,1,"Engineering
",
"Gabriel, Paul Oladimeji",57223605102,1,"Medicine
",
"Demehin, Blessing Femi",57219440212,1,"Chemistry
Chemical Engineering
",
"Arogundade, Toyin Joy",58062099500,1,"Agricultural and Biological Sciences
",
"Dare, F. O.",57225080747,1,"Physics and Astronomy
",
"Ojo, Olatunji Oladimeji",57217198510,71,"Engineering
Materials Science
Physics and Astronomy
Business, Management and Accounting
Decision Sciences
Computer Science
Chemistry
Multidisciplinary
Earth and Planetary Sciences
",0000-0002-6581-1168
"Olajire, Olabanji Olatona",57216782951,5,"Environmental Science
Earth and Planetary Sciences
Agricultural and Biological Sciences
Energy
",
"Thomas, Adebayo Olabode",57193812951,3,"Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
",
"Owolabi, R. A.",8089586800,1,"Engineering
",
"Omotunde, Iyanu",57242157100,1,"Environmental Science
",
"Aje, Isaac Olaniyi",55053441600,16,"Business, Management and Accounting
Engineering
Economics, Econometrics and Finance
Decision Sciences
Earth and Planetary Sciences
Environmental Science
",
"Olusoga, Olawale Oreoluwa",57211004557,5,"Social Sciences
Environmental Science
Engineering
Multidisciplinary
",
"Oyun, Matthew Banji",14719773200,7,"Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Multidisciplinary
Environmental Science
Economics, Econometrics and Finance
Social Sciences
",
"Olufunso, Alowolodu Olufunso",57191240758,2,"Computer Science
Engineering
",
"Olalekan, Ajinaja Micheal",57216846178,1,"Computer Science
Mathematics
",
"Babafemi, Ogunjemite",56636567400,1,"Environmental Science
Agricultural and Biological Sciences
",
"Osagie, Precious Oregbe",58496299900,1,"Environmental Science
",
"Ademola, K. R.",56872928400,1,"Chemistry
",
"Seun, Adawa Ifeoluwa",57697818300,2,"Environmental Science
Agricultural and Biological Sciences
Earth and Planetary Sciences
Decision Sciences
",
"Adeparusi, Eunice Olwayemisi",6507796533,13,"Agricultural and Biological Sciences
Environmental Science
Earth and Planetary Sciences
Veterinary
",
"Ayo-Ojo, O. E.",57195964918,1,"Physics and Astronomy
Engineering
",
"Oderinde, Zianab A.",57222253282,1,"Agricultural and Biological Sciences
",
"Bada, Busola G.",57219466828,1,"Social Sciences
",
"Taiwo Olalekan, Oni",56005330200,1,"Arts and Humanities
Economics, Econometrics and Finance
Social Sciences
",
"Magoh, Augustine Osigwe",57211409108,1,"Agricultural and Biological Sciences
",
"Popoola, A. V.",58334882600,1,"Engineering
",
"Adewale, Adetola I.",58090220000,1,"Multidisciplinary
",
"Ogunsola, O. J.",37071121000,1,"Agricultural and Biological Sciences
",
"Adesemuyi, Mibinuola Florence",57219314547,1,"Chemical Engineering
Chemistry
Pharmacology, Toxicology and Pharmaceutics
Environmental Science
",
"Ponnle, Akinlolu Adediran",43661866500,16,"Engineering
Computer Science
Physics and Astronomy
Energy
Mathematics
Materials Science
Chemical Engineering
Health Professions
Decision Sciences
Social Sciences
Biochemistry, Genetics and Molecular Biology
",
"Adekanmi, Adeyinka Miracle",58450902000,1,"Physics and Astronomy
Materials Science
",
"Oyedokun, Victor Oluwatoyin",57221919597,1,"Medicine
",
"Tolani, J. B.",6508296858,1,"Earth and Planetary Sciences
Environmental Science
",
"Adeyemi, A. O.",57197404608,1,"Agricultural and Biological Sciences
",
"Olatunji, Temitope",58514623400,1,"Engineering
",
"Ayeni, O. O.",57220100809,1,"Engineering
",
"Olagunju, Aderonke Ibidunni",57194940705,26,"Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Medicine
Nursing
Engineering
Chemical Engineering
Immunology and Microbiology
Health Professions
Social Sciences
Chemistry
",
"Owolabi, Bodunde Joseph",55889285700,10,"Environmental Science
Pharmacology, Toxicology and Pharmaceutics
Medicine
Materials Science
Biochemistry, Genetics and Molecular Biology
Chemistry
Immunology and Microbiology
Physics and Astronomy
Chemical Engineering
Energy
Agricultural and Biological Sciences
",
"Akinloye, Folasade Oluwayemisi",57218395762,1,"Multidisciplinary
",
"Olorunmeke, Oluwaseun Abigael",57720199800,2,"Agricultural and Biological Sciences
",
"Oluwadare, Oluwatoyin A.",57338033400,1,"Earth and Planetary Sciences
",
"Alayande, O. E.",54382887600,1,"Mathematics
Engineering
Computer Science
",
"Koriko, R. O K",55996027000,1,"Energy
",
"Eesuola, E. O.",24766034400,1,"Agricultural and Biological Sciences
Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
",
"Oyebode, Waliyu Adedeji",57224099142,1,"Chemistry
Materials Science
Environmental Science
",
"Ogundeji, Seyi E.",57218823183,1,"Environmental Science
Pharmacology, Toxicology and Pharmaceutics
",
"Akinbogun, Solomon Pelumi",56160034900,12,"Business, Management and Accounting
Engineering
Economics, Econometrics and Finance
Environmental Science
Earth and Planetary Sciences
Energy
Arts and Humanities
Social Sciences
",
"Uyi, I. O.",57216335152,1,"Social Sciences
Computer Science
",
"Idowu, O. M.",12140164700,1,"Mathematics
",
"Emmanuel, Akinwonmi Akintoba",57222758974,1,"Computer Science
",
"Abayomi, Adeola",57647851100,1,"Computer Science
Engineering
Medicine
",
"Olanipekun, I. T.",57222738917,1,"Medicine
Immunology and Microbiology
",
"Fatoyinbo, O. A.",23466868300,2,"Agricultural and Biological Sciences
",
"James, P. O.",9036662200,1,"Agricultural and Biological Sciences
",
"Adenowuro, T. D.",8267725500,1,"Agricultural and Biological Sciences
",
"Omotola, O. O.",57217199809,1,"Agricultural and Biological Sciences
Earth and Planetary Sciences
Environmental Science
Decision Sciences
",
"John-Isa, Justinah Folasade",57798496900,1,"Medicine
",
"Busuyi, Afeni Thomas",25632044000,2,"Earth and Planetary Sciences
Social Sciences
",
"Iwarere, Babatunde Olamide",57221257879,1,"Materials Science
",
"Aderinola, Taiwo Ayodele",57192135889,12,"Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
Chemistry
Medicine
Multidisciplinary
Pharmacology, Toxicology and Pharmaceutics
",
"Olaseni, Aribisala Jamiu",57990299000,1,"Biochemistry, Genetics and Molecular Biology
Chemical Engineering
Engineering
Agricultural and Biological Sciences
Chemistry
",
"Oladotun, John Ayotomiwa",57640576500,1,"Engineering
Chemical Engineering
",
"Omosowone, Olajumoke O.",56550006300,3,"Agricultural and Biological Sciences
Environmental Science
",
"Efe, Obade",57221957857,1,"Biochemistry, Genetics and Molecular Biology
Medicine
Pharmacology, Toxicology and Pharmaceutics
",
"Adedeji, Victor",57220062927,1,"Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Pharmacology, Toxicology and Pharmaceutics
",
"Salami, Adekunle A.",7005711628,4,"Agricultural and Biological Sciences
Environmental Science
",
"Omoruyi, Osaretin E.",57242184800,2,"Environmental Science
",
"Daramola, G. A.",13807875300,1,"Agricultural and Biological Sciences
Environmental Science
",
"Damola, Ariyeloye S.",57221969377,1,"Agricultural and Biological Sciences
Environmental Science
",
"Sedara, A. M.",57222746573,3,"Agricultural and Biological Sciences
Engineering
Energy
",0000-0003-0146-2306
"Adelabu, Oluwafemi Samuel",36105203300,8,"Arts and Humanities
Engineering
Social Sciences
Computer Science
Mathematics
Decision Sciences
",
"Ayeni, O. A.",58510956400,1,"Engineering
Computer Science
",
"Mathew, S. O.",56985360300,1,"Agricultural and Biological Sciences
",
"Onunkun, Afolashade Toritseju",57218380607,2,"Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
",
"Okunola, J. O.",6504340912,1,"Agricultural and Biological Sciences
",
"Obisesan, Adekemi A.",56974141400,3,"Agricultural and Biological Sciences
Economics, Econometrics and Finance
Social Sciences
Environmental Science
",
"Udoh, M. E.",57195714680,1,"Agricultural and Biological Sciences
",
"Fafowora, Oluwatobi Iyanuoluwa",57045865600,1,"Agricultural and Biological Sciences
",
"Oladeji, Sunday Oladipo",57224677539,1,"Economics, Econometrics and Finance
Environmental Science
Social Sciences
",0000-0003-0143-011X
"Omisore, Suliat Olatidayo",57936575900,2,"Biochemistry, Genetics and Molecular Biology
Multidisciplinary
Environmental Science
Agricultural and Biological Sciences
Chemistry
",
"Ajisafe, J. I.",57197758676,1,"Environmental Science
",
"Adeyemi, Oluwaranti",57217536815,1,"Business, Management and Accounting
Engineering
",
"Adesina, Femi Peter",57444001200,4,"Medicine
Environmental Science
Biochemistry, Genetics and Molecular Biology
Multidisciplinary
Engineering
",
"Ilori, R. M.",18634375300,1,"Immunology and Microbiology
Agricultural and Biological Sciences
Medicine
",
"Josiah, Sunday Solomon",57202925412,22,"Medicine
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Chemistry
Chemical Engineering
Environmental Science
Agricultural and Biological Sciences
Computer Science
Neuroscience
Immunology and Microbiology
Nursing
",
"Adesiji, Nkirikua E.",58353163700,1,"Computer Science
Physics and Astronomy
Earth and Planetary Sciences
",
"Adu Michael, R.",57213352109,1,"Energy
Social Sciences
Engineering
Mathematics
Computer Science
",
"Akinola, O. O.",57204923417,1,"Engineering
Computer Science
",
"Okunola, Akinbode Michael",57214092154,2,"Environmental Science
Social Sciences
",
"Akindote-White, O.",57209605706,1,"Multidisciplinary
",
"Adeyemi, M. A.",57519964100,1,"Engineering
",
"Michael, B.",56439101600,1,"Engineering
",
"Ogunye, O. R.",43061520100,2,"Mathematics
",
"Adedeji, A. E.",57216687469,1,"Earth and Planetary Sciences
Environmental Science
",
"Oladele, Akinmolafe Abiodun",57488663300,1,"Social Sciences
Agricultural and Biological Sciences
",
